epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.296,3.28725,3.80213,4.16322,0.01294,0.80822,0.20617,0.05886,2.83696,4.04812,4.10143,0.00045728,0.00045728,0.00045728
2,320.97,2.89972,3.32173,3.79681,0.00455,0.81507,0.05232,0.01762,2.76452,3.61189,3.70852,0.000919654,0.000919654,0.000919654
3,472.167,2.30573,2.79939,3.11534,0.31795,0.49315,0.29702,0.13493,2.49537,10.9633,4.05579,0.00137269,0.00137269,0.00137269
4,626.842,1.81788,2.37759,2.60242,0.54685,0.69863,0.69222,0.44064,1.55083,8.09597,2.96085,0.00138656,0.00138656,0.00138656
