epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7790.15,0.31279,0.34162,0.9692,1,0.89207,0.98166,0.97451,0.22567,0.36476,0.80463,0.000848969,0.000848969,0.000848969
43,7976.26,0.29483,0.33709,0.96583,1,0.95644,0.99152,0.97251,0.26295,0.331,0.84446,0.000834822,0.000834822,0.000834822
44,8162.66,0.29275,0.34428,0.96315,0.99798,0.9863,0.99493,0.97993,0.20776,0.34919,0.79878,0.000820675,0.000820675,0.000820675
45,8348.42,0.30593,0.3504,0.96059,0.99837,0.96575,0.99274,0.98322,0.24165,0.30319,0.83325,0.000806528,0.000806528,0.000806528
46,8533.76,0.29806,0.33109,0.96319,0.99806,0.9863,0.99493,0.98903,0.18527,0.29688,0.79565,0.00079238,0.00079238,0.00079238
47,8718.98,0.27665,0.32874,0.95957,1,0.92488,0.98877,0.9804,0.1817,0.28957,0.78806,0.000778233,0.000778233,0.000778233
48,8904.53,0.28461,0.31812,0.9505,0.99314,0.99121,0.99486,0.98331,0.24736,0.29874,0.82971,0.000764086,0.000764086,0.000764086
49,9090.18,0.28656,0.32824,0.95929,1,0.9516,0.99153,0.97857,0.22088,0.31495,0.82129,0.000749939,0.000749939,0.000749939
50,9275.63,0.2888,0.32575,0.95684,0.99853,1,0.995,0.98138,0.24029,0.25688,0.81868,0.000735792,0.000735792,0.000735792
51,9461.43,0.28945,0.32813,0.95463,1,0.98846,0.995,0.98488,0.21227,0.27434,0.81044,0.000721645,0.000721645,0.000721645
52,9646.98,0.29461,0.32505,0.96042,0.99253,0.97945,0.99348,0.98412,0.20405,0.26591,0.80878,0.000707498,0.000707498,0.000707498
53,9832.49,0.27648,0.31068,0.94196,0.98575,1,0.99473,0.98563,0.20823,0.26113,0.7993,0.000693351,0.000693351,0.000693351
54,10018.4,0.27884,0.31114,0.95423,1,0.96887,0.99196,0.98087,0.21887,0.32356,0.81352,0.000679204,0.000679204,0.000679204
55,10203.8,0.28179,0.30753,0.95384,0.89367,0.92111,0.97987,0.97212,0.19934,0.36837,0.80389,0.000665057,0.000665057,0.000665057
56,10389.4,0.27524,0.31423,0.95075,1,0.96343,0.994,0.98514,0.21111,0.27441,0.81313,0.000650909,0.000650909,0.000650909
